dateTime,usUnits,interval,barometer,pressure,altimeter,inTemp,outTemp,inHumidity,outHumidity,windSpeed,windDir,windGust,windGustDir,rainRate,rain,dewpoint,windchill,heatindex,ET,radiation,UV,extraTemp1,extraTemp2,extraTemp3,soilTemp1,soilTemp2,soilTemp3,soilTemp4,leafTemp1,leafTemp2,extraHumid1,extraHumid2,soilMoist1,soilMoist2,soilMoist3,soilMoist4,leafWet1,leafWet2,rxCheckPercent,txBatteryStatus,consBatteryVoltage,hail,hailRate,heatingTemp,heatingVoltage,supplyVoltage,referenceVoltage,windBatteryStatus,rainBatteryStatus,outTempBatteryStatus,inTempBatteryStatus,appTemp,windrun
2025-01-15 07:05:00,1,5,29.505,29.1702499494725,29.5105607957416,23.833333333333336,19.444444444444443,63.0,93.0,0.0,,1.0,45.0,0.0,0.0,18.280789364146226,19.444444444444443,19.444444444444443,0.0,,,,,,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,,,0.0,8.0,0.0,0.0,0.0,8.0,98.2291666666667,0.0,4.36,,,,,,,,,,,22.36002711161278,0.0
2025-01-15 07:10:00,1,5,29.504,29.1692790020569,29.5095804453438,23.833333333333336,19.555555555555557,63.0,93.0,0.0,,1.0,45.0,0.0,0.0,18.390896913685893,19.555555555555557,19.555555555555557,0.0,,,,,,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,,,0.0,8.0,0.0,0.0,0.0,8.0,99.9375,0.0,4.36,,,,,,,,,,,22.518986243616226,0.0
2025-01-15 07:15:00,1,5,29.503,29.1683171048278,29.5086092327186,23.833333333333336,19.72222222222222,64.0,93.0,0.0,,1.0,45.0,0.0,0.0,18.556057430623387,19.72222222222222,19.72222222222222,0.0,,,,,,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,,,0.0,8.0,0.0,0.0,0.0,8.0,99.9375,0.0,4.36,,,,,,,,,,,22.757967861344,0.0
2025-01-15 07:20:00,1,5,29.499,29.1643701805905,29.5046240842795,23.77777777777778,19.944444444444446,64.0,92.0,0.0,,2.0,90.0,0.0,0.0,18.603151990881944,19.944444444444446,19.944444444444446,0.0,,,,,,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,,,0.0,8.0,0.0,0.0,0.0,8.0,99.9375,0.0,4.36,,,,,,,,,,,23.000930316907116,0.0
2025-01-15 07:25:00,1,5,29.5,29.1654131321411,29.5056771364469,23.77777777777778,20.27777777777778,64.0,92.0,0.0,,3.0,45.0,0.0,0.0,18.933021481550615,20.27777777777778,20.27777777777778,0.0,,,,,,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,,,0.0,8.0,0.0,0.0,0.0,8.0,99.9375,0.0,4.36,,,,,,,,,,,23.481042602546832,0.0
2025-01-15 07:30:00,1,5,29.498,29.1640961498822,29.5043473996692,23.88888888888889,20.72222222222222,64.0,91.0,0.0,,1.0,67.5,0.0,0.0,19.197017038246003,20.72222222222222,20.72222222222222,0.0,,,,,,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,,,0.0,8.0,0.0,0.0,0.0,8.0,99.9375,0.0,4.36,,,,,,,,,,,24.044872182168053,0.0
2025-01-15 07:35:00,1,5,29.495,29.161086147555,29.5013082460947,24.055555555555557,21.0,63.0,88.0,1.0,90.0,3.0,112.5,0.0,0.0,18.93256947160461,21.0,21.0,0.0,,,,,,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,,,0.0,8.0,0.0,0.0,0.0,8.0,98.2291666666667,0.0,4.36,,,,,,,,,,,23.890134662168894,0.0833333333333333
2025-01-15 07:40:00,1,5,29.491,29.1571404888403,29.4973243736242,24.055555555555557,21.055555555555557,63.0,88.0,1.0,45.0,4.0,90.0,0.0,0.0,18.98724052433405,21.055555555555557,21.055555555555557,0.0,,,,,,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,,,0.0,8.0,0.0,0.0,0.0,8.0,99.9375,0.0,4.36,,,,,,,,,,,23.970272378990224,0.166666666666667
2025-01-15 07:45:00,1,5,29.49,29.1561486069475,29.496322885187,24.0,21.22222222222222,63.0,87.0,0.0,,2.0,45.0,0.0,0.0,18.967713673430833,21.22222222222222,21.22222222222222,0.0,,,,,,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,,,0.0,8.0,0.0,0.0,0.0,8.0,99.9375,0.0,4.36,,,,,,,,,,,24.4410778481755,0.166666666666667
2025-01-15 07:50:00,1,5,29.487,29.1525938671046,29.4927337165728,23.944444444444443,21.38888888888889,63.0,87.0,0.0,,1.0,45.0,0.0,0.0,19.131489631282275,21.38888888888889,21.38888888888889,0.0,,,,,,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,,,0.0,8.0,0.0,0.0,0.0,8.0,100.0,0.0,4.36,,,,,,,,,,,24.681745423093275,0.166666666666667
2025-01-15 07:55:00,1,5,29.487,29.1531880231225,29.4933336272341,23.88888888888889,21.444444444444443,63.0,86.0,0.0,,1.0,45.0,0.0,0.0,19.000371640588167,21.444444444444443,21.444444444444443,0.0,,,,,,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,,,0.0,8.0,0.0,0.0,0.0,8.0,99.9375,0.0,4.36,,,,,,,,,,,24.67800365420033,0.166666666666667
2025-01-15 08:00:00,1,5,29.493,29.1584999191651,29.4986969701608,23.88888888888889,21.611111111111114,63.0,85.0,0.0,,1.0,315.0,0.0,0.0,18.976060717711835,21.611111111111114,21.611111111111114,0.0,,,,,,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,,,0.0,8.0,0.0,0.0,0.0,8.0,99.9375,0.0,4.36,,,,,,,,,,,24.833722333614393,0.166666666666667
2025-01-15 08:05:00,1,5,29.492,29.1574978320259,29.4976851777239,23.88888888888889,21.722222222222218,63.0,84.0,0.0,,0.0,,0.0,0.0,18.894972386995832,21.722222222222218,21.722222222222218,0.0,,,,,,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,,,0.0,8.0,0.0,0.0,0.0,8.0,99.0833333333333,0.0,4.36,,,,,,,,,,,24.908421524584444,0.166666666666667
2025-01-15 08:10:00,1,5,29.496,29.1614614856933,29.5016872193362,23.833333333333336,21.77777777777778,63.0,84.0,0.0,,0.0,,0.0,0.0,18.949323496793724,21.77777777777778,21.77777777777778,0.0,,,,,,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,,,0.0,8.0,0.0,0.0,0.0,8.0,99.0833333333333,0.0,4.36,,,,,,,,,,,24.98836511608867,0.166666666666667
2025-01-15 08:15:00,1,5,29.496,29.1614705342561,29.5016963555331,23.833333333333336,21.833333333333332,64.0,84.0,0.0,,0.0,,0.0,0.0,19.003674352895608,21.833333333333332,21.833333333333332,0.0,,,,,,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,-67.77777777777777,,,0.0,8.0,0.0,0.0,0.0,8.0,99.9375,0.0,4.36,,,,,,,,,,,25.068380979894663,0.166666666666667
